JAN
PIOTR
STANISŁAW
ANDRZEJ
PAWEŁ
JÓZEF
KRZYSZTOF
ADAM
TOMASZ
MAREK
MICHAŁ
JERZY
GRZEGORZ
WOJCIECH
MARCIN
ŁUKASZ
KAZIMIERZ
TADEUSZ
ANTONI
MARIAN
FRANCISZEK
JAKUB
ZBIGNIEW
ROBERT
JACEK
RYSZARD
MATEUSZ
HENRYK
MACIEJ
JANUSZ
KAROL
WŁADYSŁAW
MARIUSZ
RAFAŁ
DARIUSZ
ALEKSANDER
ROMAN
SEBASTIAN
STEFAN
ARTUR
KAMIL
EDWARD
MIROSŁAW
DAWID
MIECZYSŁAW
SZYMON
DANIEL
SŁAWOMIR
MIKOŁAJ
WIESŁAW
JAROSŁAW
DOMINIK
LESZEK
PATRYK
DAMIAN
CZESŁAW
ZDZISŁAW
BOGDAN
WALDEMAR
WIKTOR
ZYGMUNT
PRZEMYSŁAW
KONRAD
SYLWESTER
EUGENIUSZ
KACPER
ARKADIUSZ
BOGUSŁAW
BARTŁOMIEJ
FILIP
ADRIAN
KRYSTIAN
MAKSYMILIAN
WITOLD
WŁODZIMIERZ
BARTOSZ
SZCZEPAN
BRONISŁAW
IRENEUSZ
LEON
WACŁAW
BOLESŁAW
ZENON
HUBERT
IGNACY
JULIAN
RADOSŁAW
GABRIEL
LUDWIK
BERNARD
CEZARY
FELIKS
NORBERT
EDMUND
LECH
LUCJAN
OSKAR
EMIL
ALOJZY
WINCENTY
BŁAŻEJ
IGOR
BOGUMIŁ
SEWERYN
MIŁOSZ
MARIA
WALENTY
TEODOR
ERYK
ROMUALD
BENEDYKT
JOACHIM
GERARD
NIKODEM
MARCEL
ALBERT
ALFRED
OLIWIER
FLORIAN
AUGUSTYN
JULIUSZ
KONSTANTY
LEONARD
REMIGIUSZ
ALAN
KSAWERY
KAJETAN
ERNEST
FABIAN
LESŁAW
WAWRZYNIEC
TYMOTEUSZ
ALEXANDER
RAJMUND
HIERONIM
RUDOLF
TEOFIL
CYPRIAN
EMANUEL
FRYDERYK
